,ANO_ELEICAO,UF,NUMERO_CANDIDATO,NOME_URNA_CANDIDATO,G_Index,V2,Cand_Name_Numb,MoranI,Above_avg_G,Above_avg_I,Quadrant,Party_Number
8194,2010,MG,2205,DANIEL MARTINS,0.025650931,198,DANIEL MARTINS - 2205,0.079443575,FALSE,FALSE,Deconcentrated and Discontiguous,22
8195,2010,MG,2210,J BERDIANO,0.043965308,1197,J BERDIANO - 2210,0.225598572,FALSE,TRUE,Deconcentrated and Contiguous,22
8196,2010,MG,2220,JOSÉ REIS,0.071278748,905,JOSÉ REIS - 2220,0.103467971,FALSE,FALSE,Deconcentrated and Discontiguous,22
8197,2010,MG,2222,AELTON FREITAS,0.052252459,106192,AELTON FREITAS - 2222,0.386719719,FALSE,TRUE,Deconcentrated and Contiguous,22
8198,2010,MG,2233,LINCOLN PORTELA,0.01987272,109045,LINCOLN PORTELA - 2233,0.196585824,FALSE,TRUE,Deconcentrated and Contiguous,22
8199,2010,MG,2240,ARACELY DE PAULA,0.106746361,81129,ARACELY DE PAULA - 2240,0.466313971,FALSE,TRUE,Deconcentrated and Contiguous,22
8200,2010,MG,2245,BILAC PINTO,0.05116678,117230,BILAC PINTO - 2245,0.504252377,FALSE,TRUE,Deconcentrated and Contiguous,22
8201,2010,MG,2250,JAIMINHO MARTINS,0.098742183,180117,JAIMINHO MARTINS - 2250,0.473683365,FALSE,TRUE,Deconcentrated and Contiguous,22
8202,2010,MG,2255,DIEGO ANDRADE,0.042650003,90073,DIEGO ANDRADE - 2255,0.165556382,FALSE,TRUE,Deconcentrated and Contiguous,22
8203,2010,MG,2280,BERNARDO SANTANA,0.031328804,119029,BERNARDO SANTANA - 2280,0.265099419,FALSE,TRUE,Deconcentrated and Contiguous,22
8204,2010,MG,2288,EDMAR MOREIRA,0.047213253,45576,EDMAR MOREIRA - 2288,0.172283,FALSE,TRUE,Deconcentrated and Contiguous,22
8205,2010,MG,2300,MUNHOZ,0.064973935,2363,MUNHOZ - 2300,0.165465265,FALSE,TRUE,Deconcentrated and Contiguous,23
8206,2010,MG,2310,PASTORA IRMÃ MARIA,0.029358086,491,PASTORA IRMÃ MARIA - 2310,0.019167049,FALSE,FALSE,Deconcentrated and Discontiguous,23
